,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.6091445427728613,0.6077481840193705,0.39085545722713866,0.47547169811320755
1,Cardiomegaly,0.6390977443609023,0.36470588235294116,0.3609022556390977,0.5625
2,Consolidation,0.5425101214574899,0.35074626865671643,0.4574898785425101,0.19469026548672566
3,Edema,0.42962962962962964,0.3448275862068966,0.5703703703703704,0.5064935064935064
4,Effusion,0.5079365079365079,0.5198863636363636,0.49206349206349204,0.5366568914956011
5,Emphysema,0.6176470588235294,0.5476190476190477,0.38235294117647056,0.34615384615384615
6,Fibrosis,0.49523809523809526,0.15384615384615385,0.5047619047619047,0.18867924528301888
7,Hernia,0.11538461538461539,0.0,0.8846153846153846,0.13043478260869565
8,Infiltration,0.5565217391304348,0.4583333333333333,0.4434782608695652,0.5381263616557734
9,Mass,0.5211267605633803,0.3567567567567568,0.4788732394366197,0.37058823529411766
10,Nodule,0.5437665782493368,0.44878048780487806,0.4562334217506631,0.43023255813953487
11,Pleural_Thickening,0.574585635359116,0.2980769230769231,0.425414364640884,0.44155844155844154
12,Pneumonia,0.4307692307692308,0.17857142857142858,0.5692307692307692,0.02702702702702703
13,Pneumothorax,0.5496688741721855,0.608433734939759,0.4503311258278146,0.5882352941176471
