,diseases,%M,Gap_M,%F,Gap_F
0,Edema,0.5656333716035209,-0.014006604948942791,0.43436662839647916,0.014006604948942791
1,Support Devices,0.5925472358292512,-0.01482057719999541,0.40745276417074877,0.01482057719999541
2,Fracture,0.7108050847457628,0.016191458814409643,0.2891949152542373,-0.016191458814409643
3,Pneumonia,0.5816993464052288,0.01659058988764045,0.41830065359477125,-0.01659058988764045
4,Lung Opacity,0.5926065635609205,-0.0171507001909611,0.4073934364390796,0.0171507001909611
5,Atelectasis,0.5993966817496229,0.021264347778633397,0.4006033182503771,-0.021264347778633397
6,Pleural Effusion,0.5830023828435266,-0.04090974809542347,0.4169976171564734,0.04090974809542347
7,Pneumothorax,0.6478215767634855,0.041109765573872914,0.35217842323651455,-0.041109765573872914
8,Lung Lesion,0.5534521158129176,0.044471316678123596,0.4465478841870824,-0.044471316678123596
9,Consolidation,0.5734791524265208,-0.04590706274258122,0.42652084757347913,0.04590706274258122
10,Cardiomegaly,0.6082435945042703,0.05084110202593606,0.39175640549572965,-0.05084110202593606
11,Enlarged Cardiomediastinum,0.6096654275092936,0.054544134727061544,0.3903345724907063,-0.054544134727061544
12,No Finding,0.5768725361366623,-0.06957276324415074,0.4231274638633377,0.06957276324415074
13,Pleural Other,0.7211538461538461,0.09318007662835248,0.27884615384615385,-0.09318007662835248
