,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.6091445427728613,0.46246973365617433,0.39085545722713866,0.35471698113207545
1,Cardiomegaly,0.6390977443609023,0.36470588235294116,0.3609022556390977,0.5208333333333334
2,Consolidation,0.5425101214574899,0.35074626865671643,0.4574898785425101,0.18584070796460178
3,Edema,0.42962962962962964,0.43103448275862066,0.5703703703703704,0.5714285714285714
4,Effusion,0.5079365079365079,0.6164772727272727,0.49206349206349204,0.5777126099706745
5,Emphysema,0.6176470588235294,0.47619047619047616,0.38235294117647056,0.36538461538461536
6,Fibrosis,0.49523809523809526,0.25,0.5047619047619047,0.16981132075471697
7,Hernia,0.11538461538461539,0.3333333333333333,0.8846153846153846,0.5217391304347826
8,Infiltration,0.5565217391304348,0.3576388888888889,0.4434782608695652,0.4357298474945534
9,Mass,0.5211267605633803,0.3891891891891892,0.4788732394366197,0.3764705882352941
10,Nodule,0.5437665782493368,0.5024390243902439,0.4562334217506631,0.42441860465116277
11,Pleural_Thickening,0.574585635359116,0.10576923076923077,0.425414364640884,0.22077922077922077
12,Pneumonia,0.4307692307692308,0.07142857142857142,0.5692307692307692,0.05405405405405406
13,Pneumothorax,0.5496688741721855,0.3253012048192771,0.4503311258278146,0.40441176470588236
