,diseases,%M,Gap_M,%F,Gap_F
0,Mass,0.5211267605633803,0.012718600953895098,0.4788732394366197,-0.012718600953895098
1,Pneumonia,0.4307692307692308,0.017374517374517368,0.5692307692307692,-0.017374517374517368
2,Effusion,0.5079365079365079,0.03876466275659818,0.49206349206349204,-0.03876466275659818
3,Nodule,0.5437665782493368,0.07802041973908114,0.4562334217506631,-0.07802041973908114
4,Infiltration,0.5565217391304348,-0.0780909586056645,0.4434782608695652,0.0780909586056645
5,Pneumothorax,0.5496688741721855,-0.07911055988660526,0.4503311258278146,0.07911055988660526
6,Fibrosis,0.49523809523809526,0.08018867924528303,0.5047619047619047,-0.08018867924528303
7,Atelectasis,0.6091445427728613,0.10775275252409888,0.39085545722713866,-0.10775275252409888
8,Emphysema,0.6176470588235294,0.1108058608058608,0.38235294117647056,-0.1108058608058608
9,Pleural_Thickening,0.574585635359116,-0.11500999000999,0.425414364640884,0.11500999000999
10,Edema,0.42962962962962964,-0.14039408866995073,0.5703703703703704,0.14039408866995073
11,Cardiomegaly,0.6390977443609023,-0.1561274509803922,0.3609022556390977,0.1561274509803922
12,Consolidation,0.5425101214574899,0.16490556069211465,0.4574898785425101,-0.16490556069211465
13,Hernia,0.11538461538461539,-0.18840579710144928,0.8846153846153846,0.18840579710144928
