,"diseases","%40-60","Gap_40-60","%60-80","Gap_60-80","%20-40","Gap_20-40","%80-","Gap_80-","%0-20","Gap_0-20"
0,"Infiltration",0.4743961352657,0,0.239613526570048,0.024242822416399,0.208695652173913,-0.075667571848835,0.013526570048309,-0.037969159150422,0.063768115942029,0.120039498858236
1,"Pleural_Thickening",0.392265193370166,0.008098591549296,0.320441988950276,-0.071551724137931,0.220994475138122,0,0.011049723756906,-0.175,0.05524861878453,0.025
2,"Pneumothorax",0.390728476821192,0.090456890198968,0.152317880794702,-0.090456890198968,0.397350993377483,0.108818472119872,0,,0.059602649006623,-0.196737083435683
3,"Effusion",0.458874458874459,-0.010310341272296,0.27994227994228,0.020196045293223,0.176046176046176,0,0.015873015873016,-0.325633383010432,0.069264069264069,0.047472677595629
4,"Hernia",0.5,-0.358974358974359,0.269230769230769,0.047619047619048,0,,0.230769230769231,0,0,
5,"Consolidation",0.437246963562753,-0.143223010244287,0.259109311740891,0.040226063829787,0.190283400809717,0,0.004048582995951,-0.319148936170213,0.109311740890688,0.088258471237195
6,"Pneumonia",0.446153846153846,-0.025166364186328,0.230769230769231,0.007017543859649,0.292307692307692,-0.007017543859649,0,,0.030769230769231,0.440350877192982
7,"Atelectasis",0.469026548672566,-0.024422500440839,0.315634218289086,0.051401869158879,0.157817109144543,0,0.011799410029499,0.463785046728972,0.045722713864307,-0.02411817907748
8,"Fibrosis",0.542857142857143,0,0.238095238095238,0.087017543859649,0.190476190476191,-0.042982456140351,0.019047619047619,0.307017543859649,0.00952380952381,-0.192982456140351
9,"Cardiomegaly",0.488721804511278,0.288942307692308,0.240601503759398,0,0.225563909774436,0.314583333333333,0.022556390977444,-0.21875,0.022556390977444,-0.21875
10,"Edema",0.555555555555556,0.024725011956002,0.303703703703704,-0.020803443328551,0.125925925925926,0.020803443328551,0,,0.014814814814815,-0.508608321377331
11,"Mass",0.442253521126761,0.024664588697656,0.264788732394366,0,0.242253521126761,-0.103908955962395,0.011267605633803,-0.132978723404255,0.03943661971831,0.40273556231003
12,"Nodule",0.546419098143236,0,0.209549071618037,-0.115398795624923,0.16710875331565,-0.066574202496533,0.002652519893899,0.504854368932039,0.074270557029178,0.07628294036061
13,"Emphysema",0.330882352941176,0.111111111111111,0.323529411764706,-0.081313131313131,0.330882352941176,0,0.007352941176471,-0.422222222222222,0.007352941176471,0.577777777777778
