,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Airspace Opacity,0.4004914004914005,0.029194412402868686,0.32814632814632816,0.0,0.07521157521157522,-0.008459131936790154
1,Atelectasis,0.4051106770833333,0.03893417410741207,0.3523763020833333,0.0,0.058430989583333336,-0.15253559090879854
2,Cardiomegaly,0.41359909982317955,0.011418481396809121,0.3509082141134866,0.0,0.07571130043401382,-0.017334294242423387
3,Consolidation,0.3764954257565095,-0.018905614610829735,0.378606615059817,0.04602854791566163,0.09218859957776214,0.0
4,Edema,0.4779516358463727,0.0,0.36073968705547654,0.0038756196484903693,0.07795163584637269,-0.06637122002085505
5,Enlarged Cardiomediastinum,0.34285714285714286,-0.005326190696099298,0.42433862433862435,0.0,0.07407407407407407,0.03929462059137867
6,Fracture,0.30238095238095236,0.0,0.3107142857142857,0.07324946450659184,0.05476190476190476,-0.0390277302293735
7,Lung Lesion,0.3182674199623352,0.0,0.2937853107344633,0.07741617357001973,0.06591337099811675,-0.0267962806424345
8,No Finding,0.2251636572908424,-0.1298929784094328,0.32637939716567155,0.0015013575474597252,0.08021005683044385,0.0
9,Pleural Effusion,0.441866964784796,0.06503744179051141,0.351732811626607,0.0,0.04429849077697037,-0.08371339873090122
10,Pleural Other,0.4243421052631579,0.09359747344243469,0.26644736842105265,0.0,0.06907894736842106,-0.07583774250440917
11,Pneumonia,0.3613881132828081,-0.033788179558610076,0.3167132030315118,0.0,0.06262465097726366,0.07432334868199397
12,Pneumothorax,0.2842323651452282,0.11121741948426722,0.32710926694329184,0.0,0.042185338865836794,-0.055349530378123624
13,Support Devices,0.3816694794236012,-0.010919784580498804,0.40672465273270153,0.011084401709401726,0.07477606127482798,0.0
