,diseases,%White,P_Wh,N_Wh,Tot_Wh,TPR_White,%Black,P_Bl,N_Bl,Tot_Bl,TPR_Black,%Hisp,P_Hi,N_Hi,Tot_Hi,TPR_Hisp,%Other,P_Ot,N_Ot,Tot_Ot,TPR_Other,%Asian,P_As,N_As,Tot_As,Gap_Asian,%American,P_Am,N_Am,Tot_Am,TPR_American
0,Airspace Opacity,0.5434070434070434,3981,12775,16756,0.7053504144687265,0.12052962052962053,883,4111,4994,0.637599093997735,0.046273546273546275,339,1441,1780,0.6578171091445427,0.02962052962052962,217,863,1080,0.7050691244239631,0.02293202293202293,168,506,674,0.6666666666666666,0.0015015015015015015,11,43,54,0.36363636363636365
1,Atelectasis,0.5457356770833334,3353,13403,16756,0.6943036087086192,0.11865234375,729,4265,4994,0.607681755829904,0.045247395833333336,278,1502,1780,0.6834532374100719,0.0390625,240,840,1080,0.6291666666666667,0.018717447916666668,115,559,674,0.7043478260869566,0.00341796875,21,33,54,0.7142857142857143
2,Cardiomegaly,0.5294968654557145,3294,13462,16756,0.655130540376442,0.16846166211220062,1048,3946,4994,0.732824427480916,0.04806301237743128,299,1481,1780,0.7324414715719063,0.03777527728660987,235,845,1080,0.7148936170212766,0.020736216042436906,129,545,674,0.5813953488372093,0.0027326796334994374,17,37,54,0.7058823529411765
3,Consolidation,0.5784658691062632,822,15934,16756,0.38077858880778587,0.11189303307529909,159,4835,4994,0.37735849056603776,0.04996481351161154,71,1709,1780,0.29577464788732394,0.02744546094299789,39,1041,1080,0.28205128205128205,0.023926812104152005,34,640,674,0.4411764705882353,0.0,0,54,54,
4,Edema,0.6142247510668564,2159,14597,16756,0.6262158406669754,0.12944523470839261,455,4539,4994,0.6307692307692307,0.05689900426742532,200,1580,1780,0.615,0.04751066856330014,167,913,1080,0.6526946107784432,0.014793741109530583,52,622,674,0.5384615384615384,0.0031294452347083927,11,43,54,0.7272727272727273
5,Enlarged Cardiomediastinum,0.5841269841269842,552,16204,16756,0.2753623188405797,0.1037037037037037,98,4896,4994,0.3469387755102041,0.05396825396825397,51,1729,1780,0.2549019607843137,0.03492063492063492,33,1047,1080,0.18181818181818182,0.016931216931216932,16,658,674,0.3125,0.0,0,54,54,
6,Fracture,0.49047619047619045,412,16344,16756,0.1553398058252427,0.04404761904761905,37,4957,4994,0.0,0.023809523809523808,20,1760,1780,0.15,0.06547619047619048,55,1025,1080,0.2,0.002380952380952381,2,672,674,0.0,0.0011904761904761906,1,53,54,0.0
7,Lung Lesion,0.4529190207156309,481,16275,16756,0.2079002079002079,0.1431261770244821,152,4842,4994,0.2565789473684211,0.010357815442561206,11,1769,1780,0.18181818181818182,0.04048964218455744,43,1037,1080,0.3488372093023256,0.023540489642184557,25,649,674,0.2,0.0,0,54,54,
8,No Finding,0.36946982231494135,5136,11620,16756,0.7464953271028038,0.14891015034889576,2070,2924,4994,0.8371980676328502,0.05625494568736062,782,998,1780,0.8222506393861893,0.025537731098482123,355,725,1080,0.7830985915492957,0.019207251276886553,267,407,674,0.8689138576779026,0.0009351845190993454,13,41,54,0.7692307692307693
9,Pleural Effusion,0.6046674119619899,4327,12429,16756,0.802865726831523,0.09893795416433762,708,4286,4994,0.7076271186440678,0.03228060368921185,231,1549,1780,0.6926406926406926,0.03661263275572946,262,818,1080,0.7404580152671756,0.019005030743432086,136,538,674,0.7279411764705882,0.0030743432084963667,22,32,54,0.8636363636363636
10,Pleural Other,0.6710526315789473,204,16552,16756,0.17647058823529413,0.039473684210526314,12,4982,4994,0.16666666666666666,0.006578947368421052,2,1778,1780,0.0,0.019736842105263157,6,1074,1080,0.0,0.013157894736842105,4,670,674,0.25,0.0,0,54,54,
11,Pneumonia,0.49341842840047867,1237,15519,16756,0.3654001616814875,0.12325488631830873,309,4685,4994,0.3656957928802589,0.046270442760271244,116,1664,1780,0.3448275862068966,0.022736338252891904,57,1023,1080,0.19298245614035087,0.021938571998404467,55,619,674,0.38181818181818183,0.0007977662544874351,2,52,54,0.0
12,Pneumothorax,0.44744121715076074,647,16109,16756,0.39258114374034003,0.0739972337482711,107,4887,4994,0.3364485981308411,0.03872752420470263,56,1724,1780,0.35714285714285715,0.030428769017980636,44,1036,1080,0.22727272727272727,0.01867219917012448,27,647,674,0.4074074074074074,0.0,0,54,54,
13,Support Devices,0.5517330910035051,4250,12506,16756,0.8169411764705883,0.1294300921718811,997,3997,4994,0.8124373119358074,0.049980527067376344,385,1395,1780,0.9298701298701298,0.03621965467999481,279,801,1080,0.8566308243727598,0.022199143190964558,171,503,674,0.7719298245614035,0.0007789173049461248,6,48,54,1.0
