,diseases,%M,Gap_M,%F,Gap_F
0,Hernia,0.11538461538461539,-0.014492753623188415,0.8846153846153846,0.014492753623188415
1,Pneumothorax,0.5496688741721855,-0.015946137491141044,0.4503311258278146,0.015946137491141044
2,Mass,0.5211267605633803,-0.021144674085850523,0.4788732394366197,0.021144674085850523
3,Effusion,0.5079365079365079,0.03848973607038131,0.49206349206349204,-0.03848973607038131
4,Fibrosis,0.49523809523809526,0.041727140783744565,0.5047619047619047,-0.041727140783744565
5,Pneumonia,0.4307692307692308,0.05115830115830117,0.5692307692307692,-0.05115830115830117
6,Infiltration,0.5565217391304348,-0.05718954248366015,0.4434782608695652,0.05718954248366015
7,Consolidation,0.5425101214574899,0.10764760269449214,0.4574898785425101,-0.10764760269449214
8,Emphysema,0.6176470588235294,0.11355311355311354,0.38235294117647056,-0.11355311355311354
9,Nodule,0.5437665782493368,0.1252694271128758,0.4562334217506631,-0.1252694271128758
10,Atelectasis,0.6091445427728613,0.1294805610123806,0.39085545722713866,-0.1294805610123806
11,Pleural_Thickening,0.574585635359116,-0.13623876123876125,0.425414364640884,0.13623876123876125
12,Cardiomegaly,0.6390977443609023,-0.15343137254901956,0.3609022556390977,0.15343137254901956
13,Edema,0.42962962962962964,-0.17465293327362286,0.5703703703703704,0.17465293327362286
