,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.6091445427728613,0.5302663438256658,0.39085545722713866,0.4226415094339623
1,Cardiomegaly,0.6390977443609023,0.3764705882352941,0.3609022556390977,0.6666666666666666
2,Consolidation,0.5425101214574899,0.35074626865671643,0.4574898785425101,0.22123893805309736
3,Edema,0.42962962962962964,0.4827586206896552,0.5703703703703704,0.5584415584415584
4,Effusion,0.5079365079365079,0.5738636363636364,0.49206349206349204,0.6070381231671554
5,Emphysema,0.6176470588235294,0.42857142857142855,0.38235294117647056,0.38461538461538464
6,Fibrosis,0.49523809523809526,0.25,0.5047619047619047,0.18867924528301888
7,Hernia,0.11538461538461539,0.0,0.8846153846153846,0.34782608695652173
8,Infiltration,0.5565217391304348,0.4982638888888889,0.4434782608695652,0.5228758169934641
9,Mass,0.5211267605633803,0.41621621621621624,0.4788732394366197,0.4176470588235294
10,Nodule,0.5437665782493368,0.4634146341463415,0.4562334217506631,0.3546511627906977
11,Pleural_Thickening,0.574585635359116,0.15384615384615385,0.425414364640884,0.2597402597402597
12,Pneumonia,0.4307692307692308,0.39285714285714285,0.5692307692307692,0.24324324324324326
13,Pneumothorax,0.5496688741721855,0.4879518072289157,0.4503311258278146,0.5367647058823529
