,diseases,%M,Gap_M,%F,Gap_F
0,Support Devices,0.5925472358292512,0.0010642946542630538,0.40745276417074877,-0.0010642946542630538
1,Fracture,0.7108050847457628,0.0019161166702150734,0.2891949152542373,-0.0019161166702150734
2,Pneumonia,0.5816993464052288,-0.0079002808988764,0.41830065359477125,0.0079002808988764
3,Edema,0.5656333716035209,0.010055259816515894,0.43436662839647916,-0.010055259816515894
4,Pleural Effusion,0.5830023828435266,-0.018062614691653267,0.4169976171564734,0.018062614691653267
5,Pneumothorax,0.6478215767634855,0.021519424670811693,0.35217842323651455,-0.021519424670811693
6,Pleural Other,0.7211538461538461,0.02390804597701149,0.27884615384615385,-0.02390804597701149
7,Lung Opacity,0.5926065635609205,-0.03134356508003866,0.4073934364390796,0.03134356508003866
8,Atelectasis,0.5993966817496229,0.03476967760321603,0.4006033182503771,-0.03476967760321603
9,Lung Lesion,0.5534521158129176,0.03860569903209782,0.4465478841870824,-0.03860569903209782
10,Consolidation,0.5734791524265208,-0.062263149048012,0.42652084757347913,0.062263149048012
11,Cardiomegaly,0.6082435945042703,0.06660185522744766,0.39175640549572965,-0.06660185522744766
12,No Finding,0.5768725361366623,-0.0708838551762192,0.4231274638633377,0.0708838551762192
13,Enlarged Cardiomediastinum,0.6096654275092936,0.0923780487804878,0.3903345724907063,-0.0923780487804878
