,diseases,%M,Gap_M,%F,Gap_F
0,Pneumothorax,0.6478215767634855,0.0004457173986612828,0.35217842323651455,-0.0004457173986612828
1,Pneumonia,0.5816993464052288,-0.001580056179775302,0.41830065359477125,0.001580056179775302
2,Edema,0.5656333716035209,-0.005203483693287159,0.43436662839647916,0.005203483693287159
3,Atelectasis,0.5993966817496229,-0.006252614888340502,0.4006033182503771,0.006252614888340502
4,Support Devices,0.5925472358292512,-0.008408821494758745,0.40745276417074877,0.008408821494758745
5,Pleural Effusion,0.5830023828435266,-0.011116795492038811,0.4169976171564734,0.011116795492038811
6,Lung Opacity,0.5926065635609205,-0.024573136949807783,0.4073934364390796,0.024573136949807783
7,Lung Lesion,0.5534521158129176,0.026021465451060488,0.4465478841870824,-0.026021465451060488
8,Fracture,0.7108050847457628,-0.03273775404922946,0.2891949152542373,0.03273775404922946
9,No Finding,0.5768725361366623,-0.048309964770299474,0.4231274638633377,0.048309964770299474
10,Pleural Other,0.7211538461538461,0.06022988505747126,0.27884615384615385,-0.06022988505747126
11,Enlarged Cardiomediastinum,0.6096654275092936,0.07199477351916375,0.3903345724907063,-0.07199477351916375
12,Consolidation,0.5734791524265208,-0.08046247058463984,0.42652084757347913,0.08046247058463984
13,Cardiomegaly,0.6082435945042703,0.10809853653455548,0.39175640549572965,-0.10809853653455548
