,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
13,Support Devices,Sup. Devices,0.08405648992726761,0.32339048285514344,0.0,0.0,0.3989678096571029,-0.021981379807646917,0.002368803426244239,0.1309482155353394,0.006315687908139811,0.0027020097186808514,0.13637158852344294,-0.038591316607626804,0.007545833117344499,0.010321903428971308,0.0454651733196408,0.01209711334186542
3,Edema,Edema,0.10659046916766524,0.26942212016838885,-0.0014727870813397103,0.002886662679425832,0.42326827401454253,0.049578554773008474,0.007780928850855751,0.08151549942594719,-0.030372034840622696,0.010271009132369302,0.21852277076157672,0.07221546916766523,0.010540767575331369,0.007271335629544584,-0.034375,0.02817329161261245
9,Pleural Effusion,Effusion,0.14128244997295833,0.2979689095654147,0.0041081748371806,0.007189828836858982,0.4196073981618064,0.01265547629528747,0.006742675981870731,0.09259049131964144,-0.05669069916786693,0.014830569011479115,0.18257120163394985,0.003959260007848098,0.003262923405763123,0.007261999319187562,-0.12862697367767087,0.0351758459530631
7,Lung Opacity,Lung Opacity,0.1417527251864601,0.289607695209355,0.0,0.0,0.4071105243304414,0.03904338877588374,0.0061048006643169145,0.10750660128253489,-0.04649956868726686,0.011613128616885052,0.1878536401357978,0.07713285574731359,0.006024787884836804,0.007921539041870995,-0.06461986943914652,0.02012459699183298
1,Cardiomegaly,Cardiomegaly,0.1628930817610063,0.24656516895655406,0.01647017374412003,0.008537494776791088,0.4002970664686224,-0.001268498942917562,0.002486257928118421,0.1117712588191608,-0.019463260991500177,0.01647091808032861,0.23616784255477166,-0.04913375139038023,0.026066603245455188,0.0051986632008912,0.11375933037062606,0.03592858740286561
12,Pneumothorax,Pneumothorax,0.18645076007931266,0.2889004149377593,-0.01914501205055439,0.015640575340667297,0.41804979253112046,-7.127869524348185e-06,1.3970624267722441e-05,0.18516597510373445,0.06793915734431306,0.018044180486747895,0.09232365145228216,-0.11851160273499958,0.028395556476708557,0.015560165975103738,0.051076412246273815,0.036146748798834144
4,Enlarged Cardiomediastinum,Enlarged Card.,0.20355731225296442,0.28810408921933084,0.006699906826823804,0.012275111668710877,0.4033457249070632,-0.007032812067185409,0.009486041343871555,0.12825278810408922,0.04972935984225156,0.03193602961002884,0.17007434944237915,0.012689682959381532,0.020103246801194023,0.010223048327137545,-0.15382795241071284,0.03147511049040263
0,Atelectasis,Atelectasis,0.2486635944700461,0.3273001508295626,0.06312924616967548,0.01513088439094741,0.42081447963800905,0.030236261018625775,0.021406670219920494,0.08416289592760183,-0.012057645791410044,0.022160024333868357,0.15957767722473604,-0.021829244330616348,0.032159135732493044,0.008144796380090498,-0.18553434830037063,0.05384825274490749
11,Pneumonia,Pneumonia,0.3065295169946333,0.2810457516339869,-0.058486332109343134,0.015889752935345825,0.3725490196078432,0.0,0.0,0.12091503267973855,0.10521574205784734,0.0537160613750077,0.2042483660130719,-0.026049122807017537,0.01530132320307139,0.02124183006535948,0.2480431848852902,0.10304919443396607
6,Lung Lesion,Lung Lesion,0.3232804232804233,0.2650334075723831,0.0,0.0,0.420935412026726,0.07958294428882663,0.014613364425382353,0.133630289532294,-0.10536414565826331,0.024690268486576926,0.17928730512249444,0.017172086225794664,0.0225276869745796,0.0011135857461024498,-0.24369747899159666,0.01785369220244136
2,Consolidation,Consolidation,0.3569195032609667,0.31852358168147643,-0.018654877237262724,0.017245188802259215,0.3643198906356801,-0.06008286200241906,0.02957831104146109,0.12303485987696514,0.013185847607753964,0.011918848382046343,0.1797676008202324,0.01108614334074932,0.030993375215232852,0.01435406698564593,0.29683664125854764,0.06190492978798597
5,Fracture,Fracture,0.4536410256410256,0.3082627118644068,0.06947696429611508,0.03718216524095094,0.3442796610169492,-0.12059017818339852,0.027494103442214483,0.125,-0.042655367231638416,0.04172684998091151,0.21610169491525424,-0.02871385842472582,0.03615160404667107,0.00635593220338983,0.3330508474576271,0.2053287048735721
10,Pleural Other,Pleural Other,0.45999999999999996,0.25,-0.004826546003016593,0.009460030165912523,0.3621794871794872,0.0577557094995929,0.021521185098412283,0.16025641025641027,0.3372247360482654,0.03397622155731239,0.21794871794871798,-0.037481146304675715,0.03855808383678418,0.009615384615384616,-0.12277526395173455,0.033629968579617045
8,No Finding,No Finding,0.6036134453781513,0.3880858519491897,0.019359346447382554,0.015158776970250103,0.2733245729303548,-0.209941168688347,0.015000471108235295,0.2606219886114761,0.12282008966114662,0.015753166835119566,0.05957074025405169,-0.48079335571700466,0.04773433685001471,0.01839684625492773,0.005901322154143828,0.011566591422121903
