,diseases,%M,P_M,N_M,Tot_M,TPR_M,%F,P_F,N_F,Tot_F,TPR_F
0,Airspace Opacity,0.5485940485940486,4019,14593,18612,0.7365016173177408,0.4514059514059514,3307,14496,17803,0.7039612942243726
1,Atelectasis,0.5608723958333334,3446,15166,18612,0.7080673244341266,0.4388020833333333,2696,15107,17803,0.6776706231454006
2,Cardiomegaly,0.5192091303648931,3230,15382,18612,0.6232198142414861,0.4807908696351069,2991,14812,17803,0.6215312604480107
3,Consolidation,0.5573539760731879,792,17820,18612,0.3661616161616162,0.4426460239268121,629,17174,17803,0.3275039745627981
4,Edema,0.5263157894736842,1850,16762,18612,0.6367567567567568,0.47368421052631576,1665,16138,17803,0.6186186186186187
5,Enlarged Cardiomediastinum,0.6021164021164022,569,18043,18612,0.3181019332161687,0.3978835978835979,376,17427,17803,0.2553191489361702
6,Fracture,0.5892857142857143,495,18117,18612,0.14545454545454545,0.4083333333333333,343,17460,17803,0.0728862973760933
7,Lung Lesion,0.5065913370998116,538,18074,18612,0.21189591078066913,0.4934086629001883,524,17279,17803,0.24427480916030533
8,No Finding,0.46888713042227176,6518,12094,18612,0.8100644369438478,0.5311128695777282,7383,10420,17803,0.8500609508329947
9,Pleural Effusion,0.5247344885410844,3755,14857,18612,0.7994673768308922,0.4752655114589156,3401,14402,17803,0.8035871802411055
10,Pleural Other,0.625,190,18422,18612,0.20526315789473684,0.375,114,17689,17803,0.14912280701754385
11,Pneumonia,0.5364978061428002,1345,17267,18612,0.4163568773234201,0.4635021938571998,1162,16641,17803,0.3795180722891566
12,Pneumothorax,0.6300138312586445,911,17701,18612,0.4665203073545554,0.3699861687413555,535,17268,17803,0.4504672897196262
13,Support Devices,0.5899000389458653,4544,14068,18612,0.8254841549295775,0.41009996105413477,3159,14644,17803,0.7733459955682178
