,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Airspace Opacity,0.4004914004914005,0.026894791344124203,0.32814632814632816,0.0,0.07521157521157522,-0.017542601411440706
1,Atelectasis,0.4051106770833333,0.03215348456998324,0.3523763020833333,0.0,0.058430989583333336,-0.13566681891577193
2,Cardiomegaly,0.41359909982317955,0.02902590431584573,0.3509082141134866,-0.0023273840611636176,0.07571130043401382,0.0
3,Consolidation,0.3764954257565095,-0.012827281158593107,0.378606615059817,0.02989585402536965,0.09218859957776214,0.0
4,Edema,0.4779516358463727,0.004279330028541417,0.36073968705547654,0.0,0.07795163584637269,-0.0879999539478229
5,Enlarged Cardiomediastinum,0.34285714285714286,0.0,0.42433862433862435,-0.024699054832055645,0.07407407407407407,0.020723104056437402
6,Fracture,0.30238095238095236,-0.022081478945566585,0.3107142857142857,0.033066799933366656,0.05476190476190476,0.0
7,Lung Lesion,0.3182674199623352,-0.05646661031276415,0.2937853107344633,0.02316849816849817,0.06591337099811675,0.0
8,No Finding,0.2251636572908424,-0.12891736457286596,0.32637939716567155,0.0,0.08021005683044385,0.01720364002605379
9,Pleural Effusion,0.441866964784796,0.0496592808371763,0.351732811626607,0.0,0.04429849077697037,-0.1139795134410927
10,Pleural Other,0.4243421052631579,0.12070874861572539,0.26644736842105265,-0.031746031746031744,0.06907894736842106,0.0
11,Pneumonia,0.3613881132828081,-0.041925923454607106,0.3167132030315118,0.0,0.06262465097726366,0.07986651478445028
12,Pneumothorax,0.2842323651452282,0.10108383101083829,0.32710926694329184,0.0,0.042185338865836794,-0.08494783904619974
13,Support Devices,0.3816694794236012,-0.001218820861677905,0.40672465273270153,0.011466202078235344,0.07477606127482798,0.0
