,diseases,%M,Gap_M,%F,Gap_F
0,Airspace Opacity,0.5485940485940486,0.032540323093368184,0.4514059514059514,-0.032540323093368184
1,Atelectasis,0.5608723958333334,0.030899051639463826,0.4388020833333333,-0.029985989383601752
2,Cardiomegaly,0.5192091303648931,0.0016885537934754336,0.4807908696351069,-0.0016885537934754336
3,Consolidation,0.5573539760731879,0.03865764159881807,0.4426460239268121,-0.03865764159881807
4,Edema,0.5263157894736842,0.018138138138138138,0.47368421052631576,-0.018138138138138138
5,Enlarged Cardiomediastinum,0.6021164021164022,0.0627827842799985,0.3978835978835979,-0.0627827842799985
6,Fracture,0.5892857142857143,0.07299077733860342,0.4083333333333333,-0.07198291791565721
7,Lung Lesion,0.5065913370998116,-0.0323788983796362,0.4934086629001883,0.0323788983796362
8,No Finding,0.46888713042227176,-0.039996513889146934,0.5311128695777282,0.039996513889146934
9,Pleural Effusion,0.5247344885410844,-0.004119803410213341,0.4752655114589156,0.004119803410213341
10,Pleural Other,0.625,0.05614035087719299,0.375,-0.05614035087719299
11,Pneumonia,0.5364978061428002,0.036838805034263455,0.4635021938571998,-0.036838805034263455
12,Pneumothorax,0.6300138312586445,0.016053017634929223,0.3699861687413555,-0.016053017634929223
13,Support Devices,0.5899000389458653,0.05213815936135968,0.41009996105413477,-0.05213815936135968
