,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Airspace Opacity,0.5434070434070434,0.04064998534441888,0.12052962052962053,-0.03215051692812543,0.046273546273546275,-0.0032132321955330445,0.02962052962052962,0.037391419599526965,0.02293202293202293,0.0032132321955330445,0.0015015015015015015,-0.4502499712676704
1,Atelectasis,0.5457356770833334,0.029458173628889472,0.11865234375,-0.053529564968529786,0.045247395833333336,-0.014795120425398878,0.0390625,-0.044081691168804116,0.018717447916666668,0.014795120425398767,0.00341796875,0.06365640406929107
2,Cardiomegaly,0.5294968654557145,-0.03414812542214307,0.16846166211220062,0.05607837939577709,0.04806301237743128,-0.01981071657297373,0.03777527728660987,0.01981071657297373,0.020736216042436906,-0.10715613152202874,0.0027326796334994374,0.15823374535895618
3,Consolidation,0.5784658691062632,-0.001747712552688352,0.11189303307529909,0.006377889981397822,0.04996481351161154,0.0,0.02744546094299789,-0.12134344528710722,0.023926812104152005,0.05965202982601492,0.0,
4,Edema,0.6142247510668564,-0.016256686805552034,0.12944523470839261,0.012472527472527473,0.05689900426742532,-0.012472527472527473,0.04751066856330014,0.05213825097058633,0.014793741109530583,-0.1232417582417582,0.0031294452347083927,0.17570929070929076
5,Enlarged Cardiomediastinum,0.5841269841269842,0.00861431529133394,0.1037037037037037,0.0,0.05396825396825397,-0.110844337735094,0.03492063492063492,-0.1447124304267161,0.016931216931216932,0.17346938775510207,0.0,
6,Fracture,0.49047619047619045,0.09190501180792443,0.04404761904761905,0.02702702702702703,0.023809523809523808,-0.02702702702702703,0.06547619047619048,0.11842751842751842,0.002380952380952381,-0.02702702702702703,0.0011904761904761906,-0.02702702702702703
7,Lung Lesion,0.4529190207156309,-0.011625998468103721,0.1431261770244821,0.0,0.010357815442561206,0.049043062200956916,0.04048964218455744,0.19492044063647493,0.023540489642184557,-0.1036842105263158,0.0,
8,No Finding,0.36946982231494135,-0.07219079295857311,0.14891015034889576,0.010832142614139006,0.05625494568736062,0.02546698205716258,0.025537731098482123,-0.010832142614138895,0.019207251276886553,0.04774252637357013,0.0009351845190993454,-0.13260895734870015
9,Pleural Effusion,0.6046674119619899,0.05323339173950592,0.09893795416433762,-0.016296847371371936,0.03228060368921185,-0.1152586200619582,0.03661263275572946,0.016296847371371825,0.019005030743432086,-0.03494922357609109,0.0030743432084963667,0.13149462669128853
10,Pleural Other,0.6710526315789473,0.04411764705882354,0.039473684210526314,0.0,0.006578947368421052,-0.16666666666666666,0.019736842105263157,-0.16666666666666666,0.013157894736842105,0.08333333333333334,0.0,
11,Pneumonia,0.49341842840047867,0.009143637519523407,0.12325488631830873,-0.009143637519523462,0.046270442760271244,0.02600868922972327,0.022736338252891904,-0.1421703791308333,0.021938571998404467,0.06676104032690194,0.0007977662544874351,-0.3877844142185526
12,Pneumothorax,0.44744121715076074,-0.00928801513816463,0.0739972337482711,0.0,0.03872752420470263,0.008845126835781036,0.030428769017980636,-0.06096006796941378,0.01867219917012448,0.11664935964001383,0.0,
13,Support Devices,0.5517330910035051,-0.023156727191906756,0.1294300921718811,-0.019301632496054433,0.049980527067376344,0.08573555699449509,0.03621965467999481,0.019301632496054433,0.022199143190964558,-0.07351104435736944,0.0007789173049461248,0.16625503751397563
