,diseases,%Medicare,P_Care,N_Care,Tot_Care,TPR_Medicare,%Other,P_Ot,N_Ot,Tot_Ot,TPR_Other,%Medicaid,P_Aid,N_Aid,Tot_Aid,TPR_Medicaid
0,Airspace Opacity,0.4004914004914005,2934,8703,11637,0.7695978186775733,0.32814632814632816,2404,9502,11906,0.7454242928452579,0.07521157521157522,551,2155,2706,0.705989110707804
1,Atelectasis,0.4051106770833333,2489,9148,11637,0.7280032141422258,0.3523763020833333,2165,9741,11906,0.6831408775981525,0.058430989583333336,359,2347,2706,0.5487465181058496
2,Cardiomegaly,0.41359909982317955,2573,9064,11637,0.6937427127866304,0.3509082141134866,2183,9723,11906,0.6701786532295007,0.07571130043401382,471,2235,2706,0.6518046709129511
3,Consolidation,0.3764954257565095,535,11102,11637,0.5177570093457944,0.378606615059817,538,11368,11906,0.5427509293680297,0.09218859957776214,131,2575,2706,0.48854961832061067
4,Edema,0.4779516358463727,1680,9957,11637,0.6011904761904762,0.36073968705547654,1268,10638,11906,0.612776025236593,0.07795163584637269,274,2432,2706,0.5109489051094891
5,Enlarged Cardiomediastinum,0.34285714285714286,324,11313,11637,0.22530864197530864,0.42433862433862435,401,11505,11906,0.24189526184538654,0.07407407407407407,70,2636,2706,0.2857142857142857
6,Fracture,0.30238095238095236,254,11383,11637,0.11811023622047244,0.3107142857142857,261,11645,11906,0.1685823754789272,0.05476190476190476,46,2660,2706,0.043478260869565216
7,Lung Lesion,0.3182674199623352,338,11299,11637,0.15976331360946747,0.2937853107344633,312,11594,11906,0.23717948717948717,0.06591337099811675,70,2636,2706,0.15714285714285714
8,No Finding,0.2251636572908424,3130,8507,11637,0.6929712460063898,0.32637939716567155,4537,7369,11906,0.828080229226361,0.08021005683044385,1115,1591,2706,0.8457399103139014
9,Pleural Effusion,0.441866964784796,3162,8475,11637,0.8393421884882986,0.351732811626607,2517,9389,11906,0.7715534366309098,0.04429849077697037,317,2389,2706,0.668769716088328
10,Pleural Other,0.4243421052631579,129,11508,11637,0.3488372093023256,0.26644736842105265,81,11825,11906,0.16049382716049382,0.06907894736842106,21,2685,2706,0.09523809523809523
11,Pneumonia,0.3613881132828081,906,10731,11637,0.40728476821192056,0.3167132030315118,794,11112,11906,0.4445843828715365,0.06262465097726366,157,2549,2706,0.5031847133757962
12,Pneumothorax,0.2842323651452282,411,11226,11637,0.46715328467153283,0.32710926694329184,473,11433,11906,0.34249471458773784,0.042185338865836794,61,2645,2706,0.32786885245901637
13,Support Devices,0.3816694794236012,2940,8697,11637,0.7816326530612245,0.40672465273270153,3133,8773,11906,0.8132780082987552,0.07477606127482798,576,2130,2706,0.8055555555555556
