,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Airspace Opacity,0.5434070434070434,0.05998437909246401,0.12052962052962053,-0.003130251188459776,0.046273546273546275,0.003130251188459776,0.02962052962052962,0.09074223003652204,0.02293202293202293,-0.01736068855026751,0.0015015015015015015,-0.3382481344377134
1,Atelectasis,0.5457356770833334,0.00855670965762434,0.11865234375,-0.040432443638340976,0.045247395833333336,-0.00855670965762434,0.0390625,-0.05034328040102953,0.018717447916666668,0.0732074442366516,0.00341796875,0.06989481483706561
2,Cardiomegaly,0.5294968654557145,-0.054741904071040626,0.16846166211220062,-0.0009893027649415798,0.04806301237743128,0.0009893027649416908,0.03777527728660987,0.029951090283620974,0.020736216042436906,-0.08682278403602273,0.0027326796334994374,0.10879965098449706
3,Consolidation,0.5784658691062632,0.03836795807598731,0.11189303307529909,-0.015481373971939993,0.04996481351161154,-0.06464427591188154,0.02744546094299789,0.0,0.023926812104152005,0.13046757164404227,0.0,
4,Edema,0.6142247510668564,-0.008617415470125067,0.12944523470839261,0.0050000000000000044,0.05689900426742532,-0.0050000000000000044,0.04751066856330014,0.05769461077844318,0.014793741109530583,-0.0757692307692307,0.0031294452347083927,0.22318181818181826
5,Enlarged Cardiomediastinum,0.5841269841269842,0.0,0.1037037037037037,0.001663708961845617,0.05396825396825397,-0.007139812446717797,0.03492063492063492,-0.010704874835309602,0.016931216931216932,0.21467391304347827,0.0,
6,Fracture,0.49047619047619045,0.08284570978745737,0.04404761904761905,-0.011486486486486487,0.023809523809523808,0.011486486486486487,0.06547619047619048,0.19785012285012285,0.002380952380952381,-0.038513513513513516,0.0011904761904761906,-0.038513513513513516
7,Lung Lesion,0.4529190207156309,0.0,0.1431261770244821,0.005758288653025495,0.010357815442561206,-0.0032130032130032182,0.04048964218455744,0.11729439636416378,0.023540489642184557,-0.06503118503118505,0.0,
8,No Finding,0.36946982231494135,-0.06654627525866752,0.14891015034889576,0.023348302374634256,0.05625494568736062,0.03266913215582212,0.025537731098482123,-0.023348302374634256,0.019207251276886553,0.03996340306398993,0.0009351845190993454,-0.048483730326963626
9,Pleural Effusion,0.6046674119619899,0.05642877130670099,0.09893795416433762,-0.016081050740907044,0.03228060368921185,-0.1124013970612534,0.03661263275572946,0.008728109564436481,0.019005030743432086,-0.008728109564436481,0.0030743432084963667,0.14300985835000202
10,Pleural Other,0.6710526315789473,0.1127450980392157,0.039473684210526314,0.0,0.006578947368421052,-0.16666666666666666,0.019736842105263157,-0.16666666666666666,0.013157894736842105,0.08333333333333334,0.0,
11,Pneumonia,0.49341842840047867,0.03420819238527284,0.12325488631830873,-0.034208192385272895,0.046270442760271244,0.08823907912460321,0.022736338252891904,-0.15752619613250507,0.021938571998404467,0.14231431423432106,0.0007977662544874351,-0.40314023122022435
12,Pneumothorax,0.44744121715076074,0.05157707939779038,0.0739972337482711,0.0034614053305642156,0.03872752420470263,-0.12037037037037035,0.030428769017980636,-0.09764309764309764,0.01867219917012448,0.0,0.0,
13,Support Devices,0.5517330910035051,-0.01892768290111746,0.1294300921718811,-0.02137242890383151,0.049980527067376344,0.10920371511263349,0.03621965467999481,0.01892768290111746,0.022199143190964558,-0.040306423871189656,0.0007789173049461248,0.20530761121652963
