,diseases,%M,P_M,N_M,Tot_M,TPR_M,%F,P_F,N_F,Tot_F,TPR_F
0,Airspace Opacity,0.5485940485940486,4019,14593,18612,0.7700920627021647,0.4514059514059514,3307,14496,17803,0.6960991835500454
1,Atelectasis,0.5608723958333334,3446,15166,18612,0.6944283226929774,0.4388020833333333,2696,15107,17803,0.6669139465875371
2,Cardiomegaly,0.5192091303648931,3230,15382,18612,0.6739938080495356,0.4807908696351069,2991,14812,17803,0.6924105650284186
3,Consolidation,0.5573539760731879,792,17820,18612,0.42045454545454547,0.4426460239268121,629,17174,17803,0.3656597774244833
4,Edema,0.5263157894736842,1850,16762,18612,0.5637837837837838,0.47368421052631576,1665,16138,17803,0.5867867867867868
5,Enlarged Cardiomediastinum,0.6021164021164022,569,18043,18612,0.28471001757469244,0.3978835978835979,376,17427,17803,0.18351063829787234
6,Fracture,0.5892857142857143,495,18117,18612,0.18181818181818182,0.4083333333333333,343,17460,17803,0.12536443148688048
7,Lung Lesion,0.5065913370998116,538,18074,18612,0.2100371747211896,0.4934086629001883,524,17279,17803,0.24045801526717558
8,No Finding,0.46888713042227176,6518,12094,18612,0.7957962565204051,0.5311128695777282,7383,10420,17803,0.8451848841934173
9,Pleural Effusion,0.5247344885410844,3755,14857,18612,0.7904127829560585,0.4752655114589156,3401,14402,17803,0.804175242575713
10,Pleural Other,0.625,190,18422,18612,0.2,0.375,114,17689,17803,0.18421052631578946
11,Pneumonia,0.5364978061428002,1345,17267,18612,0.3315985130111524,0.4635021938571998,1162,16641,17803,0.2736660929432014
12,Pneumothorax,0.6300138312586445,911,17701,18612,0.5082327113062569,0.3699861687413555,535,17268,17803,0.4822429906542056
13,Support Devices,0.5899000389458653,4544,14068,18612,0.8193221830985915,0.41009996105413477,3159,14644,17803,0.7565685343463121
