,diseases,%M,Gap_M,%F,Gap_F
0,Airspace Opacity,0.5485940485940486,0.07399287915211927,0.4514059514059514,-0.07399287915211927
1,Atelectasis,0.5608723958333334,0.028008752641087042,0.4388020833333333,-0.027111575454226267
2,Cardiomegaly,0.5192091303648931,-0.01841675697888301,0.4807908696351069,0.01841675697888301
3,Consolidation,0.5573539760731879,0.05479476803006217,0.4426460239268121,-0.05479476803006217
4,Edema,0.5263157894736842,-0.023003003003002953,0.47368421052631576,0.023003003003002953
5,Enlarged Cardiomediastinum,0.6021164021164022,0.1011993792768201,0.3978835978835979,-0.1011993792768201
6,Fracture,0.5892857142857143,0.05718050065876153,0.4083333333333333,-0.05572208762780764
7,Lung Lesion,0.5065913370998116,-0.030420840545985983,0.4934086629001883,0.030420840545985983
8,No Finding,0.46888713042227176,-0.04938862767301222,0.5311128695777282,0.04938862767301222
9,Pleural Effusion,0.5247344885410844,-0.013762459619654499,0.4752655114589156,0.013762459619654499
10,Pleural Other,0.625,0.015789473684210548,0.375,-0.015789473684210548
11,Pneumonia,0.5364978061428002,0.05793242006795102,0.4635021938571998,-0.05793242006795102
12,Pneumothorax,0.6300138312586445,0.025989720652051296,0.3699861687413555,-0.025989720652051296
13,Support Devices,0.5899000389458653,0.0627536487522794,0.41009996105413477,-0.0627536487522794
