,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Airspace Opacity,0.4004914004914005,0.03357730299534856,0.32814632814632816,0.0,0.07521157521157522,-0.04231000359352677
1,Atelectasis,0.4051106770833333,0.013631154910706433,0.3523763020833333,0.0,0.058430989583333336,-0.11896787972749545
2,Cardiomegaly,0.41359909982317955,0.01769013607071146,0.3509082141134866,0.0,0.07571130043401382,-0.007853583908857598
3,Consolidation,0.3764954257565095,0.0,0.378606615059817,0.03855748184692348,0.09218859957776214,-0.02937861168581013
4,Edema,0.4779516358463727,0.003680336487907554,0.36073968705547654,0.0,0.07795163584637269,-0.003010661079002497
5,Enlarged Cardiomediastinum,0.34285714285714286,0.0,0.42433862433862435,-0.017117699578214962,0.07407407407407407,0.030335097001763678
6,Fracture,0.30238095238095236,0.0,0.3107142857142857,0.011207650767791955,0.05476190476190476,-0.02310852447791853
7,Lung Lesion,0.3182674199623352,-0.004733727810650901,0.2937853107344633,0.056410256410256376,0.06591337099811675,0.0
8,No Finding,0.2251636572908424,-0.12865033755116784,0.32637939716567155,0.0,0.08021005683044385,0.01168548387893864
9,Pleural Effusion,0.441866964784796,0.06513808568527191,0.351732811626607,0.0,0.04429849077697037,-0.09535411567273144
10,Pleural Other,0.4243421052631579,0.1958082113120873,0.26644736842105265,0.0,0.06907894736842106,-0.05114638447971781
11,Pneumonia,0.3613881132828081,-0.0474280058496116,0.3167132030315118,0.0,0.06262465097726366,0.11196232893195784
12,Pneumothorax,0.2842323651452282,0.07160383327417791,0.32710926694329184,0.0,0.042185338865836794,-0.13145946695317645
13,Support Devices,0.3816694794236012,-0.004478458049886558,0.40672465273270153,0.010750257119551798,0.07477606127482798,0.0
