,diseases,%White,P_Wh,N_Wh,Tot_Wh,TPR_White,%Black,P_Bl,N_Bl,Tot_Bl,TPR_Black,%Hisp,P_Hi,N_Hi,Tot_Hi,TPR_Hisp,%Other,P_Ot,N_Ot,Tot_Ot,TPR_Other,%Asian,P_As,N_As,Tot_As,Gap_Asian,%American,P_Am,N_Am,Tot_Am,TPR_American
0,Airspace Opacity,0.5434070434070434,3981,12775,16756,0.7754333082140166,0.12052962052962053,883,4111,4994,0.7055492638731596,0.046273546273546275,339,1441,1780,0.7256637168141593,0.02962052962052962,217,863,1080,0.7926267281105991,0.02293202293202293,168,506,674,0.7083333333333334,0.0015015015015015015,11,43,54,0.5454545454545454
1,Atelectasis,0.5457356770833334,3353,13403,16756,0.7116015508499851,0.11865234375,729,4265,4994,0.6378600823045267,0.045247395833333336,278,1502,1780,0.7050359712230215,0.0390625,240,840,1080,0.6416666666666667,0.018717447916666668,115,559,674,0.7130434782608696,0.00341796875,21,33,54,0.8095238095238095
2,Cardiomegaly,0.5294968654557145,3294,13462,16756,0.6948998178506375,0.16846166211220062,1048,3946,4994,0.7547709923664122,0.04806301237743128,299,1481,1780,0.7525083612040134,0.03777527728660987,235,845,1080,0.7702127659574468,0.020736216042436906,129,545,674,0.6201550387596899,0.0027326796334994374,17,37,54,0.8235294117647058
3,Consolidation,0.5784658691062632,822,15934,16756,0.4343065693430657,0.11189303307529909,159,4835,4994,0.39622641509433965,0.04996481351161154,71,1709,1780,0.3380281690140845,0.02744546094299789,39,1041,1080,0.358974358974359,0.023926812104152005,34,640,674,0.4411764705882353,0.0,0,54,54,
4,Edema,0.6142247510668564,2159,14597,16756,0.5706345530338119,0.12944523470839261,455,4539,4994,0.578021978021978,0.05689900426742532,200,1580,1780,0.6,0.04751066856330014,167,913,1080,0.6826347305389222,0.014793741109530583,52,622,674,0.4807692307692308,0.0031294452347083927,11,43,54,0.7272727272727273
5,Enlarged Cardiomediastinum,0.5841269841269842,552,16204,16756,0.27355072463768115,0.1037037037037037,98,4896,4994,0.25510204081632654,0.05396825396825397,51,1729,1780,0.19607843137254902,0.03492063492063492,33,1047,1080,0.18181818181818182,0.016931216931216932,16,658,674,0.375,0.0,0,54,54,
6,Fracture,0.49047619047619045,412,16344,16756,0.16262135922330098,0.04404761904761905,37,4957,4994,0.02702702702702703,0.023809523809523808,20,1760,1780,0.05,0.06547619047619048,55,1025,1080,0.23636363636363636,0.002380952380952381,2,672,674,0.5,0.0011904761904761906,1,53,54,0.0
7,Lung Lesion,0.4529190207156309,481,16275,16756,0.21621621621621623,0.1431261770244821,152,4842,4994,0.2236842105263158,0.010357815442561206,11,1769,1780,0.18181818181818182,0.04048964218455744,43,1037,1080,0.27906976744186046,0.023540489642184557,25,649,674,0.16,0.0,0,54,54,
8,No Finding,0.36946982231494135,5136,11620,16756,0.746690031152648,0.14891015034889576,2070,2924,4994,0.8294685990338164,0.05625494568736062,782,998,1780,0.8260869565217391,0.025537731098482123,355,725,1080,0.8084507042253521,0.019207251276886553,267,407,674,0.8726591760299626,0.0009351845190993454,13,41,54,0.7692307692307693
9,Pleural Effusion,0.6046674119619899,4327,12429,16756,0.8282874971111625,0.09893795416433762,708,4286,4994,0.7415254237288136,0.03228060368921185,231,1549,1780,0.6753246753246753,0.03661263275572946,262,818,1080,0.7938931297709924,0.019005030743432086,136,538,674,0.75,0.0030743432084963667,22,32,54,0.9090909090909091
10,Pleural Other,0.6710526315789473,204,16552,16756,0.22058823529411764,0.039473684210526314,12,4982,4994,0.08333333333333333,0.006578947368421052,2,1778,1780,0.0,0.019736842105263157,6,1074,1080,0.0,0.013157894736842105,4,670,674,0.25,0.0,0,54,54,
11,Pneumonia,0.49341842840047867,1237,15519,16756,0.3080032336297494,0.12325488631830873,309,4685,4994,0.3074433656957929,0.046270442760271244,116,1664,1780,0.3275862068965517,0.022736338252891904,57,1023,1080,0.17543859649122806,0.021938571998404467,55,619,674,0.4,0.0007977662544874351,2,52,54,0.0
12,Pneumothorax,0.44744121715076074,647,16109,16756,0.46213292117465227,0.0739972337482711,107,4887,4994,0.40186915887850466,0.03872752420470263,56,1724,1780,0.32142857142857145,0.030428769017980636,44,1036,1080,0.29545454545454547,0.01867219917012448,27,647,674,0.3333333333333333,0.0,0,54,54,
13,Support Devices,0.5517330910035051,4250,12506,16756,0.8023529411764706,0.1294300921718811,997,3997,4994,0.7963891675025075,0.049980527067376344,385,1395,1780,0.9142857142857143,0.03621965467999481,279,801,1080,0.8422939068100358,0.022199143190964558,171,503,674,0.7719298245614035,0.0007789173049461248,6,48,54,1.0
