,diseases,%M,P_M,N_M,Tot_M,TPR_M,%F,P_F,N_F,Tot_F,TPR_F
0,Airspace Opacity,0.5485940485940486,4019,14593,18612,0.6884797213237124,0.4514059514059514,3307,14496,17803,0.6758391291200484
1,Atelectasis,0.5608723958333334,3446,15166,18612,0.6828206616366802,0.4388020833333333,2696,15107,17803,0.6402077151335311
2,Cardiomegaly,0.5192091303648931,3230,15382,18612,0.663467492260062,0.4807908696351069,2991,14812,17803,0.6559679037111334
3,Consolidation,0.5573539760731879,792,17820,18612,0.2866161616161616,0.4426460239268121,629,17174,17803,0.26232114467408585
4,Edema,0.5263157894736842,1850,16762,18612,0.6254054054054055,0.47368421052631576,1665,16138,17803,0.6288288288288288
5,Enlarged Cardiomediastinum,0.6021164021164022,569,18043,18612,0.22144112478031636,0.3978835978835979,376,17427,17803,0.16489361702127658
6,Fracture,0.5892857142857143,495,18117,18612,0.2101010101010101,0.4083333333333333,343,17460,17803,0.15743440233236153
7,Lung Lesion,0.5065913370998116,538,18074,18612,0.17286245353159851,0.4934086629001883,524,17279,17803,0.2385496183206107
8,No Finding,0.46888713042227176,6518,12094,18612,0.796409941699908,0.5311128695777282,7383,10420,17803,0.8340782879588243
9,Pleural Effusion,0.5247344885410844,3755,14857,18612,0.7685752330226365,0.4752655114589156,3401,14402,17803,0.7856512790355777
10,Pleural Other,0.625,190,18422,18612,0.2789473684210526,0.375,114,17689,17803,0.21052631578947367
11,Pneumonia,0.5364978061428002,1345,17267,18612,0.3516728624535316,0.4635021938571998,1162,16641,17803,0.3244406196213425
12,Pneumothorax,0.6300138312586445,911,17701,18612,0.48737650933040616,0.3699861687413555,535,17268,17803,0.4803738317757009
13,Support Devices,0.5899000389458653,4544,14068,18612,0.7959947183098591,0.41009996105413477,3159,14644,17803,0.7375751820196265
