,diseases,%60-80,P60-80,N60-80,Tot60-80,TPR_60-80,%40-60,P40-60,N40-60,Tot40-60,TPR_40-60,%20-40,P20-40,N20-40,Tot20-40,TPR_20-40,%80-,P80-,N80-,Tot80-,TPR_80-,%0-20,P0-20,N0-20,Tot0-20,TPR_0-20
0,Airspace Opacity,0.40417690417690416,2961,9262,12223,0.7183383991894631,0.36049686049686047,2641,10975,13616,0.6531616811813707,0.12257712257712258,898,6364,7262,0.5979955456570156,0.10510510510510511,770,1747,2517,0.7610389610389611,0.007644007644007644,56,741,797,0.48214285714285715
1,Atelectasis,0.4519856770833333,2777,9446,12223,0.6903132877205618,0.3497721354166667,2149,11467,13616,0.6449511400651465,0.10823567708333333,665,6597,7262,0.6330827067669172,0.08414713541666667,517,2000,2517,0.6692456479690522,0.005533854166666667,34,763,797,0.2647058823529412
2,Cardiomegaly,0.4254942935219418,2647,9576,12223,0.6898375519455988,0.33788779938916574,2102,11514,13616,0.6079923882017126,0.1186304452660344,738,6524,7262,0.6314363143631436,0.11155762739109468,694,1823,2517,0.7521613832853026,0.006429834431763382,40,757,797,0.325
3,Consolidation,0.4088669950738916,581,11642,12223,0.28055077452667815,0.36875439831104856,524,13092,13616,0.22709923664122136,0.1301900070372977,185,7077,7262,0.3945945945945946,0.08374384236453201,119,2398,2517,0.2689075630252101,0.00844475721323012,12,785,797,0.4166666666666667
4,Edema,0.44324324324324327,1558,10665,12223,0.6155327342747111,0.3211948790896159,1129,12487,13616,0.6288751107174491,0.0972972972972973,342,6920,7262,0.5672514619883041,0.1368421052631579,481,2036,2517,0.7068607068607069,0.001422475106685633,5,792,797,0.2
5,Enlarged Cardiomediastinum,0.4148148148148148,392,11831,12223,0.23979591836734693,0.37671957671957673,356,13260,13616,0.14606741573033707,0.13227513227513227,125,7137,7262,0.216,0.06666666666666667,63,2454,2517,0.1746031746031746,0.009523809523809525,9,788,797,0.4444444444444444
6,Fracture,0.3107142857142857,261,11962,12223,0.21455938697318008,0.4369047619047619,367,13249,13616,0.1880108991825613,0.14642857142857144,123,7139,7262,0.06504065040650407,0.08928571428571429,75,2442,2517,0.32,0.014285714285714285,12,785,797,0.08333333333333333
7,Lung Lesion,0.423728813559322,450,11773,12223,0.2288888888888889,0.3832391713747646,407,13209,13616,0.22113022113022113,0.1167608286252354,124,7138,7262,0.11290322580645161,0.064030131826742,68,2449,2517,0.1323529411764706,0.01224105461393597,13,784,797,0.15384615384615385
8,No Finding,0.231422199841738,3217,9006,12223,0.6496736089524402,0.3905474426300266,5429,8187,13616,0.8298029102965555,0.3022804114811884,4202,3060,7262,0.9374107567824845,0.03604057262067477,501,2016,2517,0.5588822355289421,0.0397093734263722,552,245,797,0.9692028985507246
9,Pleural Effusion,0.4737283398546674,3390,8833,12223,0.7988200589970501,0.31512017887087757,2255,11361,13616,0.7476718403547672,0.08342649524874231,597,6665,7262,0.6700167504187605,0.12115707098937954,867,1650,2517,0.8500576701268743,0.006567915036333147,47,750,797,0.574468085106383
10,Pleural Other,0.4375,133,12090,12223,0.24812030075187969,0.41776315789473684,127,13489,13616,0.2677165354330709,0.039473684210526314,12,7250,7262,0.08333333333333333,0.10526315789473684,32,2485,2517,0.28125,0.0,0,797,797,
11,Pneumonia,0.3877143996808935,972,11251,12223,0.2839506172839506,0.362983645791783,910,12706,13616,0.35824175824175825,0.15715995213402473,394,6868,7262,0.4467005076142132,0.07538891104906262,189,2328,2517,0.2804232804232804,0.016753091344236137,42,755,797,0.4523809523809524
12,Pneumothorax,0.3153526970954357,456,11767,12223,0.42105263157894735,0.34716459197787,502,13114,13616,0.4800796812749004,0.24343015214384509,352,6910,7262,0.5965909090909091,0.06500691562932227,94,2423,2517,0.39361702127659576,0.029045643153526972,42,755,797,0.5
13,Support Devices,0.3891990133714137,2998,9225,12223,0.7781854569713142,0.36699987018044916,2827,10789,13616,0.7474354439334984,0.15643255874334674,1205,6057,7262,0.7908713692946058,0.07880046735038297,607,1910,2517,0.8220757825370676,0.008568090354407374,66,731,797,0.7424242424242424
