,diseases,%Medicare,P_Care,N_Care,Tot_Care,TPR_Medicare,%Other,P_Ot,N_Ot,Tot_Ot,TPR_Other,%Medicaid,P_Aid,N_Aid,Tot_Aid,TPR_Medicaid
0,Airspace Opacity,0.4004914004914005,2934,8703,11637,0.7310838445807771,0.32814632814632816,2404,9502,11906,0.7038269550748752,0.07521157521157522,551,2155,2706,0.6751361161524501
1,Atelectasis,0.4051106770833333,2489,9148,11637,0.7171554841301727,0.3523763020833333,2165,9741,11906,0.6739030023094689,0.058430989583333336,359,2347,2706,0.5264623955431755
2,Cardiomegaly,0.41359909982317955,2573,9064,11637,0.7120093276331131,0.3509082141134866,2183,9723,11906,0.6825469537333944,0.07571130043401382,471,2235,2706,0.6411889596602972
3,Consolidation,0.3764954257565095,535,11102,11637,0.26542056074766357,0.378606615059817,538,11368,11906,0.3159851301115242,0.09218859957776214,131,2575,2706,0.3053435114503817
4,Edema,0.4779516358463727,1680,9957,11637,0.6452380952380953,0.36073968705547654,1268,10638,11906,0.6277602523659306,0.07795163584637269,274,2432,2706,0.5693430656934306
5,Enlarged Cardiomediastinum,0.34285714285714286,324,11313,11637,0.2191358024691358,0.42433862433862435,401,11505,11906,0.2119700748129676,0.07407407407407407,70,2636,2706,0.2857142857142857
6,Fracture,0.30238095238095236,254,11383,11637,0.2125984251968504,0.3107142857142857,261,11645,11906,0.19540229885057472,0.05476190476190476,46,2660,2706,0.10869565217391304
7,Lung Lesion,0.3182674199623352,338,11299,11637,0.17159763313609466,0.2937853107344633,312,11594,11906,0.2467948717948718,0.06591337099811675,70,2636,2706,0.12857142857142856
8,No Finding,0.2251636572908424,3130,8507,11637,0.6782747603833866,0.32637939716567155,4537,7369,11906,0.814414811549482,0.08021005683044385,1115,1591,2706,0.8260089686098655
9,Pleural Effusion,0.441866964784796,3162,8475,11637,0.8263757115749526,0.351732811626607,2517,9389,11906,0.7560588001589194,0.04429849077697037,317,2389,2706,0.6845425867507886
10,Pleural Other,0.4243421052631579,129,11508,11637,0.3488372093023256,0.26644736842105265,81,11825,11906,0.14814814814814814,0.06907894736842106,21,2685,2706,0.19047619047619047
11,Pneumonia,0.3613881132828081,906,10731,11637,0.30353200883002207,0.3167132030315118,794,11112,11906,0.36272040302267,0.06262465097726366,157,2549,2706,0.4394904458598726
12,Pneumothorax,0.2842323651452282,411,11226,11637,0.4720194647201946,0.32710926694329184,473,11433,11906,0.40169133192389006,0.042185338865836794,61,2645,2706,0.2786885245901639
13,Support Devices,0.3816694794236012,2940,8697,11637,0.7884353741496599,0.40672465273270153,3133,8773,11906,0.8120012767315672,0.07477606127482798,576,2130,2706,0.8020833333333334
