,diseases,%M,Gap_M,%F,Gap_F
0,Airspace Opacity,0.5485940485940486,0.01264059220366398,0.4514059514059514,-0.01264059220366398
1,Atelectasis,0.5608723958333334,0.0430875259806387,0.4388020833333333,-0.04221687883398628
2,Cardiomegaly,0.5192091303648931,0.007499588548928515,0.4807908696351069,-0.007499588548928515
3,Consolidation,0.5573539760731879,0.024295016942075753,0.4426460239268121,-0.024295016942075753
4,Edema,0.5263157894736842,-0.0034234234234233885,0.47368421052631576,0.0034234234234233885
5,Enlarged Cardiomediastinum,0.6021164021164022,0.05654750775903977,0.3978835978835979,-0.05654750775903977
6,Fracture,0.5892857142857143,0.0535792709705753,0.4083333333333333,-0.05182113086683365
7,Lung Lesion,0.5065913370998116,-0.06568716478901218,0.4934086629001883,0.06568716478901218
8,No Finding,0.46888713042227176,-0.03766834625891635,0.5311128695777282,0.03766834625891635
9,Pleural Effusion,0.5247344885410844,-0.017076046012941215,0.4752655114589156,0.017076046012941215
10,Pleural Other,0.625,0.06842105263157894,0.375,-0.06842105263157894
11,Pneumonia,0.5364978061428002,0.027232242832189058,0.4635021938571998,-0.027232242832189058
12,Pneumothorax,0.6300138312586445,0.007002677554705239,0.3699861687413555,-0.007002677554705239
13,Support Devices,0.5899000389458653,0.058419536290232665,0.41009996105413477,-0.058419536290232665
