,diseases,%M,Gap_M,%F,Gap_F
0,Atelectasis,0.6091445427728613,0.5351089588377724,0.39085545722713866,0.41132075471698115
1,Cardiomegaly,0.6390977443609023,0.3764705882352941,0.3609022556390977,0.5625
2,Consolidation,0.5425101214574899,0.39552238805970147,0.4574898785425101,0.17699115044247787
3,Edema,0.42962962962962964,0.4482758620689655,0.5703703703703704,0.6103896103896104
4,Effusion,0.5079365079365079,0.5369318181818182,0.49206349206349204,0.5425219941348973
5,Emphysema,0.6176470588235294,0.5119047619047619,0.38235294117647056,0.3269230769230769
6,Fibrosis,0.49523809523809526,0.19230769230769232,0.5047619047619047,0.2641509433962264
7,Hernia,0.11538461538461539,0.0,0.8846153846153846,0.08695652173913043
8,Infiltration,0.5565217391304348,0.4670138888888889,0.4434782608695652,0.5185185185185185
9,Mass,0.5211267605633803,0.3783783783783784,0.4788732394366197,0.35294117647058826
10,Nodule,0.5437665782493368,0.4634146341463415,0.4562334217506631,0.4011627906976744
11,Pleural_Thickening,0.574585635359116,0.22115384615384615,0.425414364640884,0.35064935064935066
12,Pneumonia,0.4307692307692308,0.32142857142857145,0.5692307692307692,0.1891891891891892
13,Pneumothorax,0.5496688741721855,0.4939759036144578,0.4503311258278146,0.6029411764705882
